"id";"bike_column"
1;brand
2;activity
3;model
4;year
5;size
6;frame_form
7;electric
8;engine_name_model
9;engine_battery_name_model
10;frame_model
11;fork_model
12;crankset_model
13;bb_model
14;pedals_model
15;chain_model
16;tire_model
17;cassette_model
18;brakes_model
19;hub_front_model
20;hub_rear_model
21;rim_model
22;gearshifter_model
23;derailleur_model
24;saddle_model
25;handlebar_model
26;luggagerack_model
27;bicycle_insurance
28;frame_tube_form
29;frame_diameter
30;frame_material
31;handlebar_brand
32;handlebar_type
33;handlebar_diameter
34;handlebar_material
35;stem_type
36;stem_diameter
37;fork_brand
38;fork_type
39;fork_pivot_type
40;fork_diameter
41;fork_length
42;fork_material
43;engine_brand
44;engine_model
45;engine_power
46;engine_position
47;battery_brand
48;battery_model
49;battery_capacity
50;battery_position
51;wheel_inch
52;tire_type
53;tire_size
54;etrto_size
55;spokes_nb
56;speed_nb
57;bb_type
58;bb_thread_type
59;chainring_nb
60;derailleur_position
61;derailleur_front_brand
62;derailleur_rear_brand
63;breaks_type
64;break_brand
65;saddle_size
66;seatpost_diameter
67;pedals_type
68;comment
69;crankset_brand
70;pedals_brand
71;active
72;purchase_date
73;warranty_manufacturer
74;warrenty_start_date
75;warrenty_end_date
76;insurance_formula
77;insurance_state
78;condition
79;cable_type
80;id_bike_model
81;bike-pseudo
82;bicycode
